"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Navigate","Backward History","Alt+Left","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Text Editing","Text Start","Esc, <","Editing Text"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"SVN","Add to svn:ignore...","Ctrl+Alt+I","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Window","Toggle Split Editor (Horizontal)","Ctrl+Shift+-","In Windows"
"Text Editing","Text Start","Esc, Shift+<","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Cut to Beginning of Line","Esc, 0, Ctrl+K","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Edit","Find Next","Ctrl+K","Editing Text"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Edit","Select All","Ctrl+X, H","In Dialogs and Windows"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Window","Activate Editor","Ctrl+C, E","In Windows"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Text Editing","Page Up","Alt+V","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Window","Quick Switch Editor","Alt+E","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Edit","Toggle Block Selection","Ctrl+C, B","Editing Text"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Text Editing","Text Start","Alt+Shift+<","Editing Text"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"File","Close Others","Ctrl+X, 1","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Edit","Undo","Ctrl+Shift+-","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Text Editing","Previous Word","Esc, B","Editing Text"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"SVN","Merge...","Ctrl+Alt+E","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Search","File Search","Ctrl+C, S","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"File","Print","Esc, F9","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Text Editing","Text End","Alt+Shift+>","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Run/Debug","Step Return","F7","Debugging"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"File","Save","Ctrl+X, Ctrl+S","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Widget in Focus"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Navigate","Open Resource","Ctrl+X, Ctrl+F","In Windows"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Text Editing","Previous Column","Ctrl+B","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Text Editing","Next Word","Esc, F","Editing Text"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Text Editing","Line Down","Ctrl+N","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"View","Zoom In","Ctrl+Shift+;","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Views","Show View (Package Explorer)","Ctrl+C, P","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Text Editing","Delete Next","Ctrl+D","Editing Text"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Text Editing","Text End","Esc, >","Editing Text"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"SVN","Latest from Repository","Ctrl+Alt+L","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","To Lower Case","Ctrl+Shift+L","Editing Text"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Delete Previous Word","Esc, Backspace","Editing Text"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Edit","Undo","Ctrl+/","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Text Editing","Page Up","Esc, V","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"SVN","Show History","Ctrl+C, H","In Windows"
"SVN","Update","Ctrl+Alt+U","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"File","Print","Alt+F9","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Navigate","Next Page","Alt+F7","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Text Editing","Delete Next Word","Esc, D","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"SVN","Show Annotation...","Ctrl+Alt+A","In Windows"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Edit","Context Information","Alt+?","In Windows"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"File","Close","Ctrl+X, K","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"File","Refresh","F5","In Windows"
"Text Editing","Text Start","Alt+<","Editing Text"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Edit","Find and Replace","Ctrl+Shift+F","In Windows"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Edit","Undo","Ctrl+X, U","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Text Editing","Set Mark","Ctrl+Space","In Tasks Editor"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source"
"Git","Commit...","Ctrl+#","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Page Down","Ctrl+V","Editing Text"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"SVN","Synchronize with Repository","Ctrl+Alt+S","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Edit","Incremental Find","Ctrl+S","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Redo","Ctrl+Shift++","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"SVN","Lock...","Ctrl+Alt+K","In Windows"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"File","Close","Ctrl+W","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Text Editing","Previous Word","Alt+B","Editing Text"
"Window","Switch to Editor","Ctrl+X, Ctrl+B","In Windows"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"File","Close All","Ctrl+X, Ctrl+C","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Widget in Focus"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Text End","Alt+>","Editing Text"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"File","Save All","Ctrl+Shift+S","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Edit","Content Assist","Ctrl+Enter","In Dialogs and Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Edit","Context Information","Alt+Shift+?","In Windows"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Text Editing","Swap Mark","Ctrl+X, Ctrl+X","Editing Text"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Edit","Find and Replace","Esc, R","In Windows"
"SVN","Show Properties","Ctrl+Alt+T","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Edit","Redo","F10","In Windows"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
